IdBuque;Buque;CFR;Censo;Geom;Latitud;Longitud;IdPosicion;Fecha;Hora;Velocidad;Rumbo;IdSuceso;TipoSuceso;IdDiario;HojaMarea
28024005;GURE ITXAS BEGI;ESP000026311;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CEFFFFF5F59AB26C0FDFFFF5F01724540;42,8906669616699;-11,3346662521362;256457968;2024-05-27;09:20;8,4;67;0;Posicion;2286776;ESP-TRP-02631120240514153847
38410;PLAYA DE TAMBO;ESP000015268;ARRASTREROS CONGELADORES DE NAFO;0xE6100000010C18EB1B98DCD026C0BC749318047A4540;42,95325;-11,407933;258992938;2024-08-08;09:24;10,9;288;0;Posicion;2361678;ESP-TRP-01526820240807212644
38410;PLAYA DE TAMBO;ESP000015268;ARRASTREROS CONGELADORES DE NAFO;0xE6100000010CCD565EF23F4927C08E210038F6804540;43,007514;-11,643066;258994558;2024-08-08;10:24;11;288;0;Posicion;2361678;ESP-TRP-01526820240807212644
38410;PLAYA DE TAMBO;ESP000015268;ARRASTREROS CONGELADORES DE NAFO;0xE6100000010C973C9E961FD827C00D54C6BFCFA24540;43,271965;-11,922116;260518536;2024-09-25;20:27;10,2;113;0;Posicion;2361678;ESP-TRP-01526820240807212644
38410;PLAYA DE TAMBO;ESP000015268;ARRASTREROS CONGELADORES DE NAFO;0xE6100000010C01344A97FE6D27C08F368E588B994540;43,199565;-11,714833;260519640;2024-09-25;21:27;10;114;0;Posicion;2361678;ESP-TRP-01526820240807212644
38410;PLAYA DE TAMBO;ESP000015268;ARRASTREROS CONGELADORES DE NAFO;0xE6100000010C68B3EA73B50527C014D044D8F0904540;43,13235;-11,51115;260520810;2024-09-25;22:27;9,3;110;0;Posicion;2361678;ESP-TRP-01526820240807212644
38410;PLAYA DE TAMBO;ESP000015268;ARRASTREROS CONGELADORES DE NAFO;0xE6100000010C2A1A6B7F67C327C0EC33677DCA874540;43,060867;-11,881649;258995997;2024-08-08;11:24;11,5;285;0;Posicion;2361678;ESP-TRP-01526820240807212644
38410;PLAYA DE TAMBO;ESP000015268;ARRASTREROS CONGELADORES DE NAFO;0xE6100000010C8D43FD2E6C3D28C069520ABABD8E4540;43,115165;-12,119966;258997231;2024-08-08;12:24;11,1;291;0;Posicion;2361678;ESP-TRP-01526820240807212644
38410;PLAYA DE TAMBO;ESP000015268;ARRASTREROS CONGELADORES DE NAFO;0xE6100000010C4F5B238271B028C06FA0C03BF9964540;43,179481;-12,344616;258998592;2024-08-08;13:24;9,1;289;0;Posicion;2361678;ESP-TRP-01526820240807212644
43014;IZURDIA MAITEA;ESP000023882;ARTES MENORES EN CANTABRICO NW;0xE6100000010C1B000040378926C0FCFFFF9F18644540;42,7820014953613;-11,2679996490479;256294403;2024-05-22;07:26;9,6;196;0;Posicion;2290226;ESP-TRP-02388220240520072212
43014;IZURDIA MAITEA;ESP000023882;ARTES MENORES EN CANTABRICO NW;0xE6100000010CECFFFF1F671F27C0FCFFFF3F084C4540;42,5940017700195;-11,561333656311;256297091;2024-05-22;09:26;9,4;255;0;Posicion;2290226;ESP-TRP-02388220240520072212
43014;IZURDIA MAITEA;ESP000023882;ARTES MENORES EN CANTABRICO NW;0xE6100000010CF1FFFF9F9BC427C0FEFFFF7FFA374540;42,4373321533203;-11,8839998245239;256301225;2024-05-22;11:26;9,6;244;0;Posicion;2290226;ESP-TRP-02388220240520072212
43014;IZURDIA MAITEA;ESP000023882;ARTES MENORES EN CANTABRICO NW;0xE6100000010C0D0000401B6828C0FCFFFF3F60254540;42,2919998168945;-12,203332901001;256304430;2024-05-22;13:26;9,2;233;0;Posicion;2290226;ESP-TRP-02388220240520072212
35404709;RIA CEDEIRA;ESP000026658;RASCO EN CANTABRICO NW;0xE6100000010CCADE52CE176B26C0B7D100DE02354540;42,41415;-11,209166;256521143;2024-05-29;03:56;8,5;246;0;Posicion;2299321;ESP-TRP-02665820240528154153
